Название;Производитель;Категория;Розничная цена;Оптовая цена;Плотность (г/м2);Мартиндейл (циклы);Свойства;Тип ткани;Ссылка на товар
PIN 003 col. 1;Dedar;Премиум;29.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 005 col. 1;Dedar;Премиум;39.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 007 col. 1;Dedar;Премиум;35.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 008 col. 1, 9, 10*, 11, 15, 18*, 22*, 24, 26*, 31;Dedar;Премиум;35.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 009 col. 1;Dedar;Премиум;45.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 010 col. 1;Dedar;Премиум;27.5;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 014 col. 1;Dedar;Премиум;37.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 015 col. 1;Dedar;Премиум;32.5;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 017 col. 1, 10;Dedar;Премиум;95.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 018 col. 1, 2, 8*, 9, 11, 15, 17, 20, 21, 24*, 25*, 27*, 28;Dedar;Премиум;36.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 019 col. 3, 6*, 9*, 14, 19, 21, 24, 26*;Dedar;Премиум;57.5;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 026 col. 1;Dedar;Премиум;64.0;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
PIN 028 col. 1*, 3, 4, 5*, 7;Dedar;Премиум;32.5;;701;55000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/topinambour/
POD 002 OUTDOOR col. 1, 2;Dedar;Премиум;54.0;;13;60000;💧, Водоотталкивание, Защита от УФ, Премиальное качество;Уличная ткань;https://dedar.com/pod007-lipcord/
POD 005 OUTDOOR col. 1*, 2, 5*, 8*, 10, 11;Dedar;Премиум;48.0;;13;60000;💧, Водоотталкивание, Защита от УФ, Премиальное качество;Уличная ткань;https://dedar.com/pod007-lipcord/
POD 006 OUTDOOR* col. 4*;Dedar;Премиум;49.0;;13;60000;💧, Водоотталкивание, Защита от УФ, Премиальное качество;Уличная ткань;https://dedar.com/pod007-lipcord/
POD 007 OUTDOOR Col. 1-4, 7, 10*, 11, 12*;Dedar;Премиум;27.5;;13;60000;💧, Водоотталкивание, Защита от УФ, Премиальное качество;Уличная ткань;https://dedar.com/pod007-lipcord/
BAMBÙ STRIÉ WALL* col. 1*, 2* Coord: Bambù;Dedar;Премиум;115.0;;3190;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bambu-wall/
BAMBÙ WALL col. 1-5, 6*, 7 Coord: Bambù Strié;Dedar;Премиум;115.0;;3190;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/bambu-wall/
A LOVE SUPREME WALL 33, 78 All;Dedar;Премиум;125.0;;639;50000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/adamo-eva/
ACROMO METALLO WALL 33 All;Dedar;Премиум;135.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/acromo-wall/
ACROMO WALL 33 col. 1, 2 Coord: Library Wall;Dedar;Премиум;125.0;;598;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/acromo-wall/
ALTER EGO METALLO WALL 33, 77 col. 9-13 Coord: Alter Ego, Alter Ego W;Dedar;Премиум;119.0;;534;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alter-ego-wall/
ALTER EGO WALL OD, 7, 33 col. 1-28 Coord: Alter Ego, Alter Ego Metallo W;Dedar;Премиум;95.5;;534;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/alter-ego-wall/
ALTRONDE WALL 33, 72, 78 col. 1-4 Coord: Mandolino Wall;Dedar;Премиум;185.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/altronde-wall/
AMOIR FOU METALLO WALL 9 All;Dedar;Премиум;149.0;;550;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amoir-libre-wall/
AMOIR FOU WALL OD, 9 col. 1-9, 11, 13-23, 25-33;Dedar;Премиум;135.0;;550;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amoir-libre-wall/
AMOIR LIBRE METALLO WALL 9 col. 15, 19, 20, 22;Dedar;Премиум;147.5;;550;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amoir-libre-wall/
AMOIR LIBRE WALL OD, 9 All;Dedar;Премиум;132.5;;550;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/amoir-libre-wall/
CHATWIN WALL 33, 77 All;Dedar;Премиум;142.5;;301;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/chatwin/
CHINTZ NATURE WALL 33, 79 All;Dedar;Премиум;111.5;;500;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/chintz-nature-wall/
DE-DA-DO WALL 33, 72, 78 col. 1-3 Coord: Mandolino Wall;Dedar;Премиум;160.0;;574;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/de-da-do-wall/
DEAUVILLE WALL 33, 73, 78 col. 1-8 Coord: Fitzcarraldo Wall, Library Wall, Millerighe Wall, Serenissima Wall;Dedar;Премиум;119.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/deauville-wall/
DIDGERIDOO WALL 33, 77, 78 All;Dedar;Премиум;147.5;;741;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/didgeridoo-wall/
DIMODONG WALL 78 col. 1, 2, 3 Coord: Dimodong;Dedar;Премиум;165.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/dimodong/
DRAPPO WALL OD, 33 col. 104;Dedar;Премиум;155.0;;432;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/drappo-wall/
DRUSILLA METALLO WALL 33 All;Dedar;Премиум;140.0;;462;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/drusilla-wall/
DRUSILLA WALL 33 col. 1-15, 17-20 Coord: Drusilla Three;Dedar;Премиум;104.0;;450;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/drusilla-wall/
ETRUSCO WALL 33, 79 All;Dedar;Премиум;74.5;;314;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/etrusco/
FANFARA WALL OD, 33 col. 104, 135, 137, 138, 141;Dedar;Премиум;121.0;;185;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/fanfara/
FANFARA WALL WR 33 All;Dedar;Премиум;137.5;;185;40000;💧, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/fanfara/
FITZCARRALDO METALLO WALL 33 All;Dedar;Премиум;139.0;;327;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/fitzcarraldo-wall/
FITZCARRALDO WALL 33 col. 1-10 Coord: Deauville Wall, Serenissima Wall;Dedar;Премиум;96.0;;327;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/fitzcarraldo-wall/
GABOR WALL 33 All;Dedar;Премиум;149.0;;354;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/gabor/
GIARDINO LUCE WALL col. 1;Dedar;Премиум;138.5;;831;65000;nan, Премиальное качество;Шенилл;https://dedar.com/il-giardino-in-una-stanza/
GOODFELLAS WALL 33, 78 All;Dedar;Премиум;127.5;;1114;80000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/goodfellas/
GORAL WALL col. 1;Dedar;Премиум;166.0;;590;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/goral-wall/
GRECO CERCA GRECA WALL 33, 78, 79 All;Dedar;Премиум;155.0;;468;40000;nan, Премиальное качество;Экокожа;https://dedar.com/greco-cerca-greca-wall/
IDOLA THEATRI WALL col. 1;Dedar;Премиум;160.0;;624;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/idola-theatri-wall/
IRIS WALL OD, 9 col. 2-10, 13, 14*, 16*, 17, 20*, 23, 24*, 26, 27*, 30-33, 35-38, 39*, 40, 41, 44*;Dedar;Премиум;108.0;;529;10000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/iris/
LEHTI WALL 33, 78, 79 All;Dedar;Премиум;135.0;;536;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lehti-wall/
LIBRARY WALL 33, 74, 78 col. 1-5 Coord: Acromo Wall, Deauville Wall, Millerighe Wall, Serenissima Wall;Dedar;Премиум;134.0;;665;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/library-wall/
LUX FLAMMÉ WALL 33 col. 1 Coord: Lux, Lux Flammè, Lux Rigato, Lux Rigato Wall;Dedar;Премиум;165.0;;169;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lux/
LUX RIGATO WALL 33 col. 1 Coord: Lux, Lux Flammé, Lux Flammé Wall, Lux Rigato;Dedar;Премиум;167.5;;169;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/lux/
MANDOLINO METALLO WALL 33 All;Dedar;Премиум;134.0;;492;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/mandolino-wall/
MANDOLINO WALL 33 col. 1-3 Coord: Altronde, De-Da-Do, Millerighe Wall, QB Wall, This Must Be The Place Wall;Dedar;Премиум;96.0;;492;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/mandolino-wall/
MARMORE WALL col. 1;Dedar;Премиум;129.0;;513;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/marmore-wall/
MICHEL WALL 79 All;Dedar;Премиум;100.0;;660;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/michel/
MILLERIGHE WALL 33, 75, 78 col. 1, 2 Coord: Deauville Wall, Library Wall, Mandolino Wall, Serenissima Wall;Dedar;Премиум;135.0;;554;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/millerighe-wall/
MOIRÉ CHANVRE WALL col. 1-11;Dedar;Премиум;129.5;;468;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/moire-chanvre-wall/
MUSE SILENZIOSE WALL 79 All;Dedar;Премиум;89.0;;672;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/muse-silenziose-wall/
NO EXCUSES WALL 33 col. 4*, 5, 11-14, 15*;Dedar;Премиум;143.0;;624;6000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/magnolia/
QB WALL 33, 72, 78 col. 1 Coord: Mandolino;Dedar;Премиум;160.0;;574;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/qb-wall/
QUENEAU WALL 79 All;Dedar;Премиум;119.5;;503;60000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/queneau/
RAFIA WALL col. 2, 3, 6;Dedar;Премиум;141.0;;370;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/rafia-wall/
SCHMETTERLING WALL 33, 79 All;Dedar;Премиум;145.0;;610;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/schmetterling/
SCHWARZWALD WALL 78 All;Dedar;Премиум;149.0;;644;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/schwarzwald/
SERENISSIMA WALL 73, 78 col. 1-9 Coord: Deauville Wall, Fitzcarraldo Wall, Library Wall, Millerighe Wall;Dedar;Премиум;118.0;;364;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/serenissima-wall/
SIBILLA WALL OD, 33, 77 col. 1-32 Coord: Sibilla;Dedar;Премиум;92.5;;410;40000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/sibilla-wall/
SILK NATURE WALL OD, 33 col. 1, 2;Dedar;Премиум;185.0;;348;15000;nan, Премиальное качество;Жаккард / Премиум ткань;https://dedar.com/silkbird-jacquard/
